Country Name,Country Code_y,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,88,,,,,,,,,,93,,,,,,,,,,96,,,,,,,,,,97.58999634,,
Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,76.11044312,,,,80.01972,,,,,,,,85,,,87,,,,,,,91,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,61.20555115,,,,,75,,,,77,,73.55303192,,,,80.54000092,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,76,,,,,,79.31117249,,,,79.31117,,,,,,80.61000061,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,41.95005035,54.38756,51,,,53.16019821,,,51.63740158,58.66999817,
Iran,IRN,,,,,,,,,,,,,,,,,37,,,,,,,,,,52,,,,,66,,,,,73,,,,,,77,,,82,82,,83,,,,84,85,85,87.17253,86,,,,,,88.95999908,
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,99.99819183,,,,,
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,98.80000305,,,,,
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99.59999847,,,,
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,70,69,,,,73,,,,,,58.28794098,,,,85,,,,,,,87.51999664,
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,91,,,,,93,,,,,96,,,,,97,,,,,97.11000061,,
Russia,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,99,,,,,,,,100,,,,,,,,,,,100,,
St. Vincent and the Grenadines,VCT,,,,,,,,,,,96,,,,,,,,,,96.90000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,51,,,58,,,,,,65.77912903,,,,69.90000153,,,
Turkiye,TUR,,,,,,,,,,,,,,,,62,,,,,66,,,,,76,,,,,79,,,,,,,,,,,,,,87,88,88,89,,91,93,94,95,95,95,96,96,96,,97,,,,
Venezuela,VEN,,,,,,,,,,,76,77,78,79,80,80,81,82,83,83,84,85,,,,,,,,,90,,,,,,,,,,,93,,,,,,95,,96,,95,,,,97,97,,,,,,97.6,
Vietnam,VNM,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,88,,,,,,,,,,90,90,,,,,,,,,94,,,,,,94.51427,,,,96,,,96,
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,92,,93,94,94,94,95,95,96,96,96,96,97,97,97,97,98,,98,
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,54.1,,,,,,,,,,68.78942,69.96195,,,,,,,,
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,83.58271027,,,88.69342041,,,,,93.22754669,,,89.84999847,
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,38,,,,,,,,,,44,,,,,,,,,,56,,,,,,,,,67,66,,,,72,,74,72,,,,71,,,,,74.5,
Syria,SYR,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,83,,81,,,,,,,,,,86.30000305,,86.30393,,,,,94,,,
