,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Afghanistan,0,250,500,12,1,24,47,70,0,72,144,1427,614,225,160,381,70,175,7123,70,9,344,1301,137,18,570,382,296,1317,101,350,83,378,155,575,446,84,226,113,211,328,396,1335,2682,106
1,Africa,2668,20393,21079,183034,255311,75481,1868,1607,673,456,369,622,643,187,1797,1242,497,3249,464,769,1526,1826,1513,2920,1702,616,1560,1114,898,725,11355,10809,1026,952,586,1298,1045,2015,1024,2721,1366,557,5044,21353,132
2,Albania,23.66666667,12.33333333,1,42.33333333,83.66666667,125,83.33333333,41.66666667,0,0,0,0,11,8.666666667,6.333333333,4,2,0,0,1.75,3.5,5.25,7,5,3,5,2.5,0,0,0,0,2.5,5,3.666666667,2.333333333,1,2,7,0,51,25.5,0,352,352,352
3,Algeria,2633,43,37,0,54,56,28.5,1,0,22,21.66666667,21.33333333,21,37,233,118.5,4,4,19,34,48,921,48,2369,22,22,5,90,93,48,29,10,69,37.5,6,12,6,0,6,8,0,103,44,42,0
4,American Samoa,35.2173913,31.30434783,27.39130435,23.47826087,19.56521739,15.65217391,11.73913043,7.826086957,3.913043478,0,0.428571429,0.857142857,1.285714286,1.714285714,2.142857143,2.571428571,3,3.428571429,3.857142857,4.285714286,4.714285714,5.142857143,5.571428571,6,0,0,8.5,17,25.5,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
5,Angola,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,59,115,8,15,28,0,0,105,7,62,25,130,0,9,42,75,113,11,8,69,35,22,0,84,84
6,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.444444444,0.666666667,0.888888889,1.111111111,1.333333333,1.555555556,1.777777778,2,2.222222222,2.444444444,2.666666667,2.888888889,3.111111111,3.333333333,3.555555556,3.777777778,4,4,4,4,4,4,4,4
7,Antigua and Barbuda,0,0,0,0,0.333333333,0.666666667,1,1.333333333,1.666666667,2,0,0.4,0.8,1.2,1.6,2,2,2,2,2,1.777777778,1.555555556,1.333333333,1.111111111,0.888888889,0.666666667,0.444444444,0.222222222,0,0,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,1,1
8,Argentina,41,20.5,0,0,30,43,4,1,25,23,21,0,45,15,24,6,3,0,19,0,37,35,7,39,10,11,0,19,0,23,42,0,25,56,27,16,3,1,2,8,5,19,0,15,1
9,Armenia,747.3636364,703.6363636,659.9090909,616.1818182,572.4545455,528.7272727,485,441.2727273,397.5454545,353.8181818,310.0909091,266.3636364,222.6363636,178.9090909,135.1818182,91.45454545,47.72727273,4,0,0,0,0.25,0.5,0.75,1,0.888888889,0.777777778,0.666666667,0.555555556,0.444444444,0.333333333,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0
10,Asia,11799,12817,7382,6739,6719,20711,3340,8985,14319,9058,49147,156895,10824,18236,8874,17150,13102,13275,25337,35749,6557,25894,8518,33382,233291,83263,16901,12652,232379,7377,14198,27325,6102,19109,5786,16394,5094,5624,9188,5250,6235,5136,7562,63424,748
11,Australia,8.5,2,1,75,36,38,15,16,17,33,7,5,2,18,36,9,21,21,20,8,1,6,2,6,6,16,4,11,8,535,6,31,4,9,141,16,8,12,0,24,12,7,31,10,10
12,Austria,0,0,12,0,42,12,10.2,8.4,6.6,4.8,3,5,2.5,0,0,2,0,3,0,53,13,12.5,12,345,174.5,4,0,5,4,3,3.666666667,4.333333333,5,4,2.666666667,1.333333333,0,5,8.5,12,6.5,1,419,8,8
13,Azerbaijan,,,,,,,,,,,,,,,,5,8,11,1,1,42,28,14,0,0,0,0,0,0,0,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
14,Bahamas,1.818181818,1.590909091,1.363636364,1.136363636,0.909090909,0.681818182,0.454545455,0.227272727,0,0,0,2,4,2.666666667,1.333333333,0,0.25,0.5,0.75,1,0.5,0,4,8,12,1,1,1,0,0,0,0,1,0,16.5,33,0,0,178,356,356,356,356,356,356
15,Bangladesh,666,1085,0,930,1200,15155,214,2292,3506,1166,1022,139356,118,646,350,1614,881,560,1491,330,191,253,379,883,1101,282,204,5635,68,260,195,102,296,98,79,159,198,323,102,260,283,24,176,20,20
16,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.666666667,0.333333333,0,0,0,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0.75,0.5,0.25,0,0,0,0
17,Belarus,,,,,,,,,,,,,,0,0,0,0,5,3.5,2,0,0.833333333,1.666666667,2.5,3.333333333,4.166666667,5,0,0,0,0,0,0,4,2,15.66666667,29.33333333,43,0,0,0,0,0,0,0
18,Belgium,1.142857143,1.428571429,1.714285714,2,0,0,3.2,6.4,9.6,12.8,16,8,0,0,0,6,4.333333333,2.666666667,1,2,3.666666667,5.333333333,7,1175,588.5,2,940,2,0,1,4,5,3,0,0,410,2,1.5,1,653,1750,39,436,2,2
19,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,11.5,14,30,23.25,16.5,9.75,3,1.5,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Benin,1,0.5,0,0,0,61,40.66666667,20.33333333,0,1,2,3,2,1,0,20,11,0,0,3,3.875,4.75,5.625,6.5,7.375,8.25,9.125,10,15,10,46,0,4,1,1.714285714,2.428571429,3.142857143,3.857142857,4.571428571,5.285714286,6,13,44,44,44
21,Bermuda,0,0,0,0,0,0,0,0,0,0,0.285714286,0.571428571,0.857142857,1.142857143,1.428571429,1.714285714,2,2.285714286,2.571428571,2.857142857,3.142857143,3.428571429,3.714285714,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
22,Bhutan,,,,,,,,,,,,,,,39,31.2,23.4,15.6,7.8,0,200,150,100,50,0,4.6,9.2,13.8,18.4,23,12,1,1.9,2.8,3.7,4.6,5.5,6.4,7.3,8.2,9.1,10,10,10,10
23,Bolivia,0,0,0,250,0,0,29,25,0,0,0,26.5,53,29,5,22.5,40,56,155,3,36,50,96,95,48,0,25,58,57,0,30,52,13,107,126,40,4,5,6,83,31,46,64,34,0
24,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,0,6,0,0,0,0,4,2,0,0.5,1,5,4.5,4,15,26,0,0.25,0.5,0.75,1,0,0,2,1,1
25,Botswana,0,0,0,0,0,0,0,0,8,6,4,2,0,6.666666667,13.33333333,20,16.6,13.2,9.8,6.4,3,2.25,1.5,0.75,0,0,0,0,0,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0
