Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,0,,500,12,1,,,70,0,,144,1427,614,225,160,381,70,175,7123,70,9,344,1301,137,18,570,382,296,1317,101,350,83,378,155,575,446,84,226,113,211,328,396,1335,2682,106
Africa,2668,20393,21079,183034,255311,75481,1868,1607,673,456,369,622,643,187,1797,1242,497,3249,464,769,1526,1826,1513,2920,1702,616,1560,1114,898,725,11355,10809,1026,952,586,1298,1045,2015,1024,2721,1366,557,5044,21353,132
Albania,,,1,,,125,,,0,0,0,0,11,,,4,,0,0,,,,7,,3,5,,0,,0,0,,5,,,1,2,7,0,51,,0,352,,
Algeria,2633,43,37,0,54,56,,1,0,22,,,21,37,233,,4,4,,34,48,921,48,2369,22,22,5,90,93,48,,10,69,,6,12,,0,6,8,0,103,44,42,0
American Samoa,,,,,,,,,,0,,,,,,,,,,,,,,6,0,0,,,,34,,,,,,,,,,,,,,,
Angola,,0,,,,0,,,,0,0,0,0,,,,,0,0,,59,115,8,15,28,0,0,105,7,62,25,130,0,9,,75,113,11,8,69,35,22,0,84,
Anguilla,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4,,,,,,,
Antigua and Barbuda,,,,0,,,,,,2,0,,,,,2,,,2,2,,,,,,,,,0,,0,,,,,,,1,,,,,,,
Argentina,41,,0,0,30,43,4,1,25,,21,0,45,15,24,6,,0,19,0,37,35,7,39,10,11,0,19,0,23,42,0,25,56,27,16,3,1,2,8,5,19,0,15,1
Armenia,,,,,,,,,,,,,,,,,,4,0,,0,,,,1,,,,,,,,,0,0,,0,,0,0,0,,,0,
Asia,11799,12817,7382,6739,6719,20711,3340,8985,14319,9058,49147,156895,10824,18236,8874,17150,13102,13275,25337,35749,6557,25894,8518,33382,233291,83263,16901,12652,232379,7377,14198,27325,6102,19109,5786,16394,5094,5624,9188,5250,6235,5136,7562,63424,748
Australia,,2,1,75,36,38,15,,17,33,7,5,2,18,36,9,21,21,20,8,1,6,2,6,6,16,4,11,8,535,6,31,4,9,141,16,8,12,0,24,12,7,31,10,
Austria,0,0,12,0,42,12,,,,,3,5,,0,0,2,0,3,0,53,13,,12,345,,4,0,5,4,3,,,5,4,,,0,5,,12,,1,419,8,
Azerbaijan,,,,,,,,,,,,,,,,5,,11,1,1,42,,,0,,,,,,0,3,,5,,,,,,,,,,,,
Bahamas,,,,,,,,,0,,0,,4,,,0,,,,1,,0,,,12,1,,1,0,,,0,1,0,,33,0,0,,356,,,,,
Bangladesh,666,1085,0,930,1200,15155,214,2292,3506,1166,1022,139356,118,646,350,1614,881,560,1491,330,191,253,379,883,1101,282,204,5635,68,260,195,102,296,98,79,159,198,323,102,260,283,24,176,20,
Barbados,0,,,,0,,,0,,,,,,,,0,,,,,,,0,,1,,,0,,,0,,,,,,,1,,,,0,,0,
Belarus,,,,,,,,,,,,,,0,,,0,5,,2,0,,,,,,5,0,,,,,0,4,2,,,43,0,,,,,0,
Belgium,,,,2,0,0,,,,,16,,0,0,0,6,,,1,2,,,7,1175,,2,940,2,0,1,4,5,3,0,0,410,2,,1,653,1750,39,436,2,
Belize,,,,,,,,,,,0,,,,,0,,,9,,14,30,,,,3,,0,8,,0,,,,,0,0,,,,0,,0,,
Benin,,,0,0,0,61,,,0,,,3,,,0,20,11,0,0,3,,,,,,,,10,15,10,46,0,4,1,,,,,,,6,13,44,,
Bermuda,,,,,,0,0,0,,0,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,39,,,,,0,200,,,,0,,,,,23,,1,,,,,,,,,,10,,,
Bolivia,0,,0,250,0,0,29,25,0,,0,,53,,5,,40,56,155,3,36,50,96,95,48,0,25,58,57,0,30,52,13,107,126,40,4,,6,83,31,46,64,34,0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,0,6,0,,0,0,4,,0,,1,5,,4,,26,0,,,,1,0,0,2,1,
Botswana,,,0,0,0,0,0,0,8,,,,0,,,20,,,,,3,,,,0,,,,,0,,0,,12,,0,,0,0,0,,,,,
Brazil,82,97,33,176,273,123,29,107,732,303,24,44,137,,0,238,186,93,14,32,115,98,104,155,139,49,20,70,203,96,455,973,20,107,55,28,33,14,22,47,163,49,541,171,60
British Virgin Islands,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
