Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,240.25679,,376.67435,346.7134,0.3416738,,,0,1550.5431,,0,1364.3342,33.17455,7.1409373,649.1515,46.73879,76.60786,116.64631,811.39844,479.99118,3317.3386,5922.7876,5107.9517,20.993471,23.520866,169.90155,8780.076,116.79977,1709.8441,240.48294,163.88982,6026.892,169.04149,68.570595,458.9009,384.69788,0,31.534573,20790.055,15906.325,132.95876,11452.408,12625.554,5823.012,45.945686
Africa,868.9745,1182.9573,1083.213,2284.0483,4355.1006,2781.6265,203.21552,2066.9084,1210.078,473.96747,1649.7938,2051.52,2228.3433,1012.7614,1296.3992,905.5126,268.5401,897.2682,628.51044,590.98175,2733.314,2139.8884,2256.5225,1480.805,3108.157,1147.5305,1840.1482,819.3721,1219.7004,2174.7825,1792.1353,1871.975,2807.3843,654.50903,662.1075,1059.2506,2252.4944,2028.7941,565.32587,1384.6763,2007.5005,2514.4119,8649.028,1120.687,359.4529
Albania,,,164.57384,,,224.19963,,,21.14606,32498.637,32371.543,32302.844,1059.406,,,106.56534,,245.87234,64.97153,,,,6143.1304,,81.62921,13206.333,,7.560258,,91.723305,619.9625,,7952.4487,,,1467.4854,156.19229,729.39795,27.806559,7231.5054,,2.9425056,0,,
Algeria,4964.503,0.25837982,42.56979,0,6.871236,67.77238,,13.363805,42.750443,48.95234,,,16.853407,2.602879,157.45782,,0.34846044,10.177761,,52.319763,0.69862753,145.58194,7.2886066,656.7001,85.757744,5.5375705,180.40631,3.840061,170.81487,7.239451,,2.1700137,0.27106404,,1.0835867,88.51091,,303.86603,0.4770195,292.76175,34.521114,102.81823,15.072413,69.49451,2.160819
American Samoa,,,,,,,,,,0,,,,,,,,,,,,,,5.1758046,39997.918,0,,,,4513.776,,,,,,,,,,,,,,,
Angola,,926.8419,,,,5014.7275,,,,5023.5913,4012.9202,3881.6396,3767.8818,,,,,321.9859,371.68933,,481.94873,235.70996,0,4.5518885,1811.0898,147.74591,1.115942,219.99368,375.26178,999.9478,812.27277,365.96545,4882.64,2321.2979,,17.776056,33.953312,4800.78,9.592774,49.96354,397.61594,3849.4368,598.7525,193.29842,
Anguilla,,,,,,,,,,,,,,,,,,,,1396.128,,,,,,,,,,,,,,,,,,99734.04,,,,,,,
Antigua and Barbuda,,,,114633.33,,,,,,12614.48,0,,,,,5410.936,,,2789.679,8068.208,,,,,,,,,30984.664,,5833.625,,,,,,,1975.1353,,,,,,,
Argentina,142.73068,,172.87419,20696.361,40.27192,4131.2544,666.7028,530.97644,14515.258,,6.1278906,190.9033,262.37268,23.510576,0,95.86187,,34.900635,1004.60364,0,104.044235,685.55664,31.482098,428.18146,16.310308,0.6449878,11.399084,338.54852,211.0555,133.1028,0,7.2253056,46.5528,825.72845,17.63728,252.49286,279.79376,123.580696,145.496,105.076454,33.120148,32.712128,272.65244,98.55837,1736.9585
Armenia,,,,,,,,,,,,,,,,,,672.4904,4.4436903,,9373.446,,,,0,,,,,,,,,2348.2915,272.22046,,26.170328,,349.01392,414.80478,101.08318,,,647.9542,
Asia,2474.0747,871.6042,2970.2947,3590.9797,2051.5847,653.24274,943.444,11846.253,6013.6035,5028.1323,2031.1774,7862.719,1501.3259,4803.071,7197.464,6334.4883,6056.76,1566.5052,8931.254,5572.395,3744.167,3359.612,16919.764,6018.4883,3364.975,3254.7505,2938.942,4687.278,4338.441,3247.4036,5611.6646,4832.8555,2107.9985,1994.6366,2233.6865,5010.113,5803.8877,1480.3796,1309.2334,1933.6249,1257.4137,1162.9343,1597.1201,1463.1075,123.68938
Australia,,267.91595,263.70532,71.50714,0,0.6334853,6.320142,,0,12.591845,35.19474,2.362329,1104.2921,30072.256,35274.92,17780.168,3492.962,2.1727023,81.57871,67.53403,11.305099,28.81836,17.632101,26.34651,21.405205,21.911852,50.183144,27.939354,96.0096,168.7557,182.41382,686.45514,70.39381,38.68156,224.9593,36.33465,3.3890312,207.98007,2.4019957,64.99543,11.410183,110.79008,944.3715,15.647272,
Austria,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,0,125.1348,0,,746.38007,0,,10.939544,6.2411017,0,0,0,,,0,2.358618,,,0,3.751067,,0,,0,0.1454201,0,
Azerbaijan,,,,,,,,,,,,,,,,21025.854,,937.492,8705.401,113.16497,40.218105,,,372.2377,,,,,,54.826786,757.8052,,237.19168,,,,,,,,,,,,
Bahamas,,,,,,,,,0,,0,,602.87537,,,0,,,,0,,0,,,2623.1648,431.26373,,1957.0675,826.8859,,,2645.8105,0,259.29575,,1708.6531,0,0,,3692.8735,,,,,
Bangladesh,11915.975,2364.348,347.80508,29837.121,32073.812,2429.4724,3178.0242,29555.104,54118.992,5056.6445,1927.8723,16869.893,76.83867,14653.337,911.74146,14510.074,4960.932,3854.1968,12275.22,482.9244,2188.0361,554.9839,1207.03,428.78622,26579.799,841.73175,161.555,15908.736,437.41177,3048.4324,619.7688,1113.5536,3687.9236,1026.6653,2055.4514,2580.849,1942.3809,7086.929,8.553068,4763.32,4807.207,926.29834,4790.101,1879.1193,
Barbados,1974.5093,,,,38.866497,,,88.91707,,,,,,,,0,,,,,,,750.562,,327.72964,,,0.3683784,,,910.0274,,,,,,,0,,,,1173.5253,,63.475628,
