,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Afghanistan,240.25679,308.46557,376.67435,346.7134,0.3416738,0.22778253333333337,0.11389126666666669,0.0,1550.5431,775.27155,0.0,1364.3342,33.17455,7.1409373,649.1515,46.73879,76.60786,116.64631,811.39844,479.99118,3317.3386,5922.7876,5107.9517,20.993471,23.520866,169.90155,8780.076,116.79977,1709.8441,240.48294,163.88982,6026.892,169.04149,68.570595,458.9009,384.69788,0.0,31.534573,20790.055,15906.325,132.95876,11452.408,12625.554,5823.012,45.945686
1,Africa,868.9745,1182.9573,1083.213,2284.0483,4355.1006,2781.6265,203.21552,2066.9084,1210.078,473.96747,1649.7938,2051.52,2228.3433,1012.7614,1296.3992,905.5126,268.5401,897.2682,628.51044,590.98175,2733.314,2139.8884,2256.5225,1480.805,3108.157,1147.5305,1840.1482,819.3721,1219.7004,2174.7825,1792.1353,1871.975,2807.3843,654.50903,662.1075,1059.2506,2252.4944,2028.7941,565.32587,1384.6763,2007.5005,2514.4119,8649.028,1120.687,359.4529
2,Albania,,,164.57384,184.44910333333334,204.32436666666666,224.19963,156.51510666666667,88.83058333333335,21.14606,32498.637,32371.543,32302.844,1059.406,741.7924466666666,424.17889333333335,106.56534,176.21884,245.87234,64.97153,1584.5112475,3104.050965,4623.5906825,6143.1304,3112.379805,81.62921,13206.333,6606.946629,7.560258,49.64178149999999,91.723305,619.9625,4286.2056,7952.4487,5790.794266666667,3629.1398333333336,1467.4854,156.19229,729.39795,27.806559,7231.5054,3617.2239528,2.9425056,0.0,0.0,0.0
3,Algeria,4964.503,0.25837982,42.56979,0.0,6.871236,67.77238,40.5680925,13.363805,42.750443,48.95234,38.25269566666667,27.553051333333332,16.853407,2.602879,157.45782,78.90314022,0.34846044,10.177761,31.248762000000003,52.319763,0.69862753,145.58194,7.2886066,656.7001,85.757744,5.5375705,180.40631,3.840061,170.81487,7.239451,4.7047323500000005,2.1700137,0.27106404,0.6773253699999999,1.0835867,88.51091,196.18847,303.86603,0.4770195,292.76175,34.521114,102.81823,15.072413,69.49451,2.160819
4,American Samoa,,,,,,,,,,0.0,0.3697003285714286,0.7394006571428572,1.1091009857142857,1.4788013142857144,1.848501642857143,2.2182019714285715,2.5879023,2.9576026285714287,3.3273029571428574,3.697003285714286,4.066703614285714,4.436403942857143,4.8061042714285716,5.1758046,39997.918,0.0,1128.444,2256.888,3385.332,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776,4513.776
5,Angola,,926.8419,1948.8133,2970.7847,3992.7561,5014.7275,5016.94345,5019.1594000000005,5021.37535,5023.5913,4012.9202,3881.6396,3767.8818,3078.70262,2389.52344,1700.3442600000003,1011.1650800000002,321.9859,371.68933,426.81903,481.94873,235.70996,0.0,4.5518885,1811.0898,147.74591,1.115942,219.99368,375.26178,999.9478,812.27277,365.96545,4882.64,2321.2979,1169.536978,17.776056,33.953312,4800.78,9.592774,49.96354,397.61594,3849.4368,598.7525,193.29842,193.29842
6,Anguilla,,,,,,,,,,,,,,,,,,,,1396.128,6859.345333333333,12322.562666666667,17785.78,23248.997333333333,28712.214666666667,34175.432,39638.649333333335,45101.86666666666,50565.083999999995,56028.30133333333,61491.51866666666,66954.73599999999,72417.95333333332,77881.17066666666,83344.38799999999,88807.60533333333,94270.82266666666,99734.04,99734.04,99734.04,99734.04,99734.04,99734.04,99734.04,99734.04
7,Antigua and Barbuda,,,,114633.33,97630.18833333334,80627.04666666666,63623.905,46620.763333333336,29617.62166666667,12614.48,0.0,1082.1871999999998,2164.3743999999997,3246.5615999999995,4328.748799999999,5410.936,4537.183666666667,3663.431333333333,2789.679,8068.208,10614.48088888889,13160.753777777778,15707.026666666667,18253.299555555557,20799.572444444446,23345.845333333335,25892.118222222223,28438.391111111112,30984.664,18409.144500000002,5833.625,5282.412185714285,4731.199371428571,4179.986557142857,3628.7737428571427,3077.560928571428,2526.348114285714,1975.1353,1975.1353,1975.1353,1975.1353,1975.1353,1975.1353,1975.1353,1975.1353
8,Argentina,142.73068,157.802435,172.87419,20696.361,40.27192,4131.2544,666.7028,530.97644,14515.258,7260.6929453,6.1278906,190.9033,262.37268,23.510576,0.0,95.86187,65.3812525,34.900635,1004.60364,0.0,104.044235,685.55664,31.482098,428.18146,16.310308,0.6449878,11.399084,338.54852,211.0555,133.1028,0.0,7.2253056,46.5528,825.72845,17.63728,252.49286,279.79376,123.580696,145.496,105.076454,33.120148,32.712128,272.65244,98.55837,1736.9585
9,Armenia,,,,,,,,,,,,,,,,,,672.4904,4.4436903,4688.944845149999,9373.446,7030.0845,4686.723,2343.3615,0.0,260.92127777777773,521.8425555555555,782.7638333333332,1043.685111111111,1304.6063888888887,1565.5276666666664,1826.4489444444441,2087.370222222222,2348.2915,272.22046,149.19539400000002,26.170328,187.592124,349.01392,414.80478,101.08318,283.37352,465.66386,647.9542,647.9542
