Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,17.61152,21.28581,13.31907,14.159625,15.00018,14.68593,13.22401,13.94591,14.66781,14.12612,12.30938,19.6126,19.13352,18.65444,24.99474,23.98821,22.40209333,20.81597667,19.22986,17.64374333,16.05762667,14.47151,14.27478,14.07805,19.26314,20.31196,29.69135,29.08917,39.09003,44.39717,50.41369,52.19843,54.20639,54.75422,54.23548,53.28514,53.50634,55.40215,57.0393,57.0393,57.0393,57.0393,57.0393,57.0393,57.0393
Albania,79.19411,80.51273,77.27787,73.21361,73.95794,77.49232,81.4867,82.58374,85.25343,87.24498,89.91551,91.41585,77.95911,70.02434,67.86613,67.46026,66.74419,67.09274,68.65025,69.28467,69.75246,72.41679,73.94577,77.60999,78.32573,82.55781,84.66513,87.14699,89.08134,90.31349,93.95289,97.44399,99.70027,103.76516,104.28803,103.0849,100.21998,99.30896,99.85479,99.2454,96.16747,96.88622,95.70341,95.70341,95.70341
Algeria,30.52704,32.45179,35.22398,38.31032,41.54367,44.67084,48.99097,51.51517,52.83295,60.25471,60.45379,59.50447,59.60988,59.80798,60.7178,60.08447,59.72066,59.12037,62.10876,65.09715,64.91105,69.07557,72.88707,75.75094,79.90053,82.03775,83.6042,73.52014,80.21128,96.51101,100.70912,103.11647,103.3724773,103.6284845,103.8844918,104.1404991,104.3965064,104.6525136,104.9085209,105.1645282,105.4205355,105.6765427,105.93255,102.70215,102.70215
American Samoa,,,,,,,,,,89.17112,90.70995,93.34904,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338,94.62338
Andorra,54.58692,56.64893,58.71094,60.77295,61.61066421,62.44837842,63.28609263,64.12380684,64.96152105,65.79923526,66.63694947,67.47466368,68.31237789,69.15009211,69.98780632,70.82552053,71.66323474,72.50094895,73.33866316,74.17637737,75.01409158,75.85180579,76.68952,76.06573,76.21951,86.08616,86.1466,84.92328,85.18027,86.72723,89.98005,93.69227,92.2807,90.96567,91.87407,92.5458,94.20907,94.36975,95.0906,95.68406,96.46275,97.32523,97.48904,97.48904,97.48904
Angola,10.33165,13.37815,9.57524,8.81998,11.11249,9.61989,11.01323,10.69913,9.01539,9.95857,9.18024,9.68,10.88276,10.96749667,11.05223333,11.13697,11.22170667,11.30644333,11.39118,11.29327,12.85634,14.46281,15.61305,16.73041167,17.84777333,18.965135,20.08249667,21.19985833,22.31722,23.85005,27.68209,27.9312,33.06125,38.1913,43.32135,48.4514,53.58145,53.58145,53.58145,53.58145,53.58145,53.58145,53.58145,53.58145,53.58145
Anguilla,,,,,,,,,,,,,,108.71261,110.424555,112.1365,113.848445,115.56039,107.07597,98.59155,106.69903,102.81426,98.71205,102.51631,103.861,102.4,103.09917,106.03814,106.66667,106.97917,107.39979,106.53924,107.0924488,107.6456575,108.1988663,108.752075,109.3052838,109.8584925,110.4117013,110.96491,108.6916333,106.4183567,104.14508,104.14508,104.14508
Antigua and Barbuda,67.84430429,70.38377143,72.92323857,75.46270571,78.00217286,80.54164,83.08110714,85.62057429,88.16004143,90.69950857,93.23897571,95.77844286,98.31791,96.06164125,93.8053725,91.54910375,89.292835,87.03656625,84.7802975,82.52402875,80.26776,84.72406429,89.18036857,93.63667286,98.09297714,102.5492814,107.0055857,111.46189,121.36728,117.81633,114.83801,115.56559,116.68987,115.799765,114.90966,117.02777,116.779085,116.5304,120.93596,120.93596,120.93596,120.93596,120.93596,120.93596,120.93596
Argentina,55.65439,56.83386,58.73199,59.59237,65.26048,70.21036,70.23778,69.91692,70.39898,71.4036,72.40822,73.74808,72.86090667,71.97373333,71.08656,75.03148,78.9764,74.94843,81.11338,92.76284,96.62179,98.06224,97.46813,96.50584,95.99762,94.18666,92.96173,92.61042,93.50382,96.63702,99.23,100.99384,102.7823,104.59675,106.09213,107.54907,109.64594,110.41241,109.697,110.49853,112.41668,116.55945,116.55945,116.55945,116.55945
Armenia,,,,,,,,,,,,91.78345,89.38117,94.84832,97.28942,94.242165,91.19491,90.01465,78.08896,78.10273,90.11558,85.99231,85.50342667,85.01454333,84.52566,86.74301,89.11322,89.97133,89.15847,94.77202,100.51909,90.08053,87.242285,84.40404,84.93111,85.7937,86.72132333,87.64894667,88.57657,93.61715,94.89111,97.30156,96.86456,96.86456,96.86456
