Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,23.66666667,12.33333333,1.0,42.33333333,83.66666667,125.0,83.33333333,41.66666667,0.0,0.0,0.0,0.0,11.0,8.666666667,6.333333333,4.0,2.0,0.0,0.0,1.75,3.5,5.25,7.0,5.0,3.0,5.0,2.5,0.0,0.0,0.0,0.0,2.5,5.0,3.666666667,2.333333333,1.0,2.0,7.0,0.0,51.0,25.5,0.0,352.0,352.0,352
Algeria,2633.0,43.0,37.0,0.0,54.0,56.0,28.5,1.0,0.0,22.0,21.66666667,21.33333333,21.0,37.0,233.0,118.5,4.0,4.0,19.0,34.0,48.0,921.0,48.0,2369.0,22.0,22.0,5.0,90.0,93.0,48.0,29.0,10.0,69.0,37.5,6.0,12.0,6.0,0.0,6.0,8.0,0.0,103.0,44.0,42.0,0
Angola,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,59.0,115.0,8.0,15.0,28.0,0.0,0.0,105.0,7.0,62.0,25.0,130.0,0.0,9.0,42.0,75.0,113.0,11.0,8.0,69.0,35.0,22.0,0.0,84.0,84
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222,0.444444444,0.666666667,0.888888889,1.111111111,1.333333333,1.555555556,1.777777778,2.0,2.222222222,2.444444444,2.666666667,2.888888889,3.111111111,3.333333333,3.555555556,3.777777778,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.333333333,0.666666667,1.0,1.333333333,1.666666667,2.0,0.0,0.4,0.8,1.2,1.6,2.0,2.0,2.0,2.0,2.0,1.777777778,1.555555556,1.333333333,1.111111111,0.888888889,0.666666667,0.444444444,0.222222222,0.0,0.0,0.0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Argentina,41.0,20.5,0.0,0.0,30.0,43.0,4.0,1.0,25.0,23.0,21.0,0.0,45.0,15.0,24.0,6.0,3.0,0.0,19.0,0.0,37.0,35.0,7.0,39.0,10.0,11.0,0.0,19.0,0.0,23.0,42.0,0.0,25.0,56.0,27.0,16.0,3.0,1.0,2.0,8.0,5.0,19.0,0.0,15.0,1
Armenia,747.3636364,703.6363636,659.9090909,616.1818182,572.4545455,528.7272727,485.0,441.2727273,397.5454545,353.8181818,310.0909091,266.3636364,222.6363636,178.9090909,135.1818182,91.45454545,47.72727273,4.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,0.888888889,0.777777778,0.666666667,0.555555556,0.444444444,0.333333333,0.222222222,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Australia,8.5,2.0,1.0,75.0,36.0,38.0,15.0,16.0,17.0,33.0,7.0,5.0,2.0,18.0,36.0,9.0,21.0,21.0,20.0,8.0,1.0,6.0,2.0,6.0,6.0,16.0,4.0,11.0,8.0,535.0,6.0,31.0,4.0,9.0,141.0,16.0,8.0,12.0,0.0,24.0,12.0,7.0,31.0,10.0,10
Austria,0.0,0.0,12.0,0.0,42.0,12.0,10.2,8.4,6.6,4.8,3.0,5.0,2.5,0.0,0.0,2.0,0.0,3.0,0.0,53.0,13.0,12.5,12.0,345.0,174.5,4.0,0.0,5.0,4.0,3.0,3.666666667,4.333333333,5.0,4.0,2.666666667,1.333333333,0.0,5.0,8.5,12.0,6.5,1.0,419.0,8.0,8
Azerbaijan,,,,,,,,,,,,,,,,5.0,8.0,11.0,1.0,1.0,42.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5
