Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,3714.541,3786.318,3724.358,3775.8096,3738.4922,3689.6462,3781.372,3753.8347,3589.6863,3816.0518,3681.2083,3299.2512,3009.153,3512.3381,4027.3682,4391.234,4862.4824,4539.818,4993.022,5292.0273,5315.43,5525.691,5636.1846,5861.1265,6038.8965,6531.797,7108.6143,7666.5283,8615.24,9320.368,10522.667,10711.467,11106.769,10646.325,11079.809,11644.792,11674.589,12126.523,12267.312,12531.788,12531.788,12531.788,12531.788,12531.788,12531.788
Algeria,12254.745,13108.504,13264.293,13552.555,13698.406,13826.624,11472.412,10669.394,9404.003,9448.048,9721.904,9304.236,9052.307,8473.165,8359.784,8597.436,8914.097,8496.63,8693.352,8883.031,9704.585,9655.797,9881.31,10634.918,11033.535,12356.633,13424.695,13692.437,14433.803,13045.797,14808.767,15523.892,14968.809,14278.215,13804.14,12512.007,11854.604,11408.486,11773.642,11787.492,11787.492,11787.492,11787.492,11787.492,11787.492
Angola,3467.9797,3313.958,3239.0059,3134.6028,3312.689,3309.2307,2844.8027,3084.3647,2805.978,2891.2588,3037.319,2719.6064,3080.0872,2566.381,2650.4155,2293.484,2820.7495,2809.5435,2861.1235,2696.8333,2228.5913,2334.3542,2533.5806,2682.5945,3131.4824,4116.556,5289.559,5809.966,6923.387,5130.315,6834.37,8334.11,9143.057,9320.892,9460.202,8058.727,7581.5454,7718.8564,7588.662,7159.579,7159.579,7159.579,7159.579,7159.579,7159.579
Anguilla,13551.983,14257.335,14406.914,14239.026,14715.496,15906.639,18924.375,19504.379,20031.396,22339.72,27838.922,20851.457,26989.988,27517.727,27761.29,27267.066,25643.43,24837.19,27783.72,29367.742,27215.838,26351.488,22947.178,26614.742,29567.043,35076.99,36554.652,42495.77,42161.152,29729.021,28403.244,27989.922,25566.455,21739.592,20429.637,17478.207,15636.513,13414.325,10206.005,15177.923,15177.923,15177.923,15177.923,15177.923,15177.923
Antigua and Barbuda,7961.821,8542.538,8887.541,10661.641,9872.611,8301.26,10811.342,11580.012,12113.277,12859.191,13509.29,13184.683,12963.708,13023.911,13952.826,12543.144,13284.202,13282.802,8923.83,12703.485,15362.205,12442.862,12615.345,14083.061,10951.267,16398.395,18315.209,22632.906,22791.188,21124.994,21019.088,21799.564,21588.543,19078.605,9101.859,16416.924,16229.569,16229.569,16229.569,16229.569,16229.569,16229.569,16229.569,16229.569,16229.569
Argentina,4492.1455,4459.6807,4606.9507,4914.8843,5155.431,4955.8945,5429.1235,5689.87,5963.5186,5657.7783,6260.611,7267.511,8444.155,9568.051,11006.12,12187.799,15569.968,15884.046,15672.702,14590.631,14332.45,13321.491,11287.75,12115.066,13113.357,14113.8545,15259.149,16769.285,17920.453,16903.314,19190.504,21360.64,21611.586,21429.314,20635.297,21197.787,20887.232,23272.184,23018.549,21826.838,21826.838,21826.838,21826.838,21826.838,21826.838
Armenia,2669.13596,2755.043572,2840.951184,2926.858795,3012.766407,3098.674019,3184.58163,3270.489242,3356.396853,3442.304465,3528.212077,3614.119688,3700.0273,3642.7449,2893.7903,3076.1155,3441.8337,3621.5447,3328.9885,3688.1565,3798.6646,4040.34,4396.316,5031.019,5389.253,6023.9185,6901.371,7882.088,8643.752,8038.7026,8880.064,9795.726,11476.973,11309.393,10791.942,11156.541,11325.965,12979.432,13588.856,14735.138,14735.138,14735.138,14735.138,14735.138,14735.138
Aruba,18259.441,19773.898,21300.975,22914.127,24753.596,26849.021,29503.621,34672.11,41638.746,43538.53,48472.41,49169.902,49396.02,51011.426,54404.49,52090.984,47801.598,50110.71,53399.832,54537.957,45452.684,50899.41,37426.957,38158.094,42818.92,45670.03,48062.984,46978.355,48225.316,41864.246,38688.96,39288.484,38024.7,45309.645,39269.96,37580.465,31666.953,29066.117,32544.37,32613.762,32613.762,32613.762,32613.762,32613.762,32613.762
Australia,24692.652,25480.332,24547.38,25622.756,26227.945,26544.85,26864.248,28604.322,29805.865,30357.975,29933.852,29537.36,30333.725,31075.062,32160.309,33466.836,34960.195,36290.953,37137.207,38633.94,39331.9,40172.168,40712.246,41971.69,42933.586,45488.26,45679.094,46090.77,47621.637,46605.594,50222.52,52136.227,51097.926,52768.6,51919.355,48712.19,51497.21,52536.19,54236.766,54147.008,54147.008,54147.008,54147.008,54147.008,54147.008
Austria,20080.336,20037.82,20134.324,20551.975,20423.42,20841.47,21803.77,22667.035,24061.92,25263.441,26615.162,27652.299,28590.305,28989.445,30206.715,31342.947,31967.035,33539.09,34845.543,36093.906,38036.566,37042.785,37653.426,38394.566,39732.598,43298.79,43980.133,45328.258,46818.812,44564.95,45806.348,47593.11,48182.363,47261.83,49125.188,49618.703,49865.79,51954.277,52968.19,53344.508,53344.508,53344.508,53344.508,53344.508,53344.508
Azerbaijan,7939.215537,8194.996683,8450.777829,8706.558976,8962.340122,9218.121268,9473.902415,9729.683561,9985.464707,10241.24585,10497.027,8947.8769,7398.7268,5849.5767,4515.355,2779.1174,2625.0737,2399.5999,2387.8008,2512.8457,2816.3289,3176.2764,3260.5984,3405.857,3566.5247,5500.5513,7976.9453,10800.024,11934.759,12098.649,14367.471,18106.38,19267.303,17494.54,18844.375,14581.192,13778.009,14091.36,15542.556,15858.924,15858.924,15858.924,15858.924,15858.924,15858.924
Bahamas,28855.234,23725.016,24608.107,26402.072,31176.812,31468.486,30311.287,33097.246,31711.605,33132.844,29458.385,27419.734,27700.953,26600.822,25366.29,24513.105,29444.889,28613.36,30194.86,33521.77,35694.668,33718.145,39583.043,37698.773,35546.84,39094.715,35367.03,38033.254,35293.496,34834.35,33069.75,33998.285,35776.676,31076.469,33804.51,30962.688,30996.61,32001.691,32339.086,33088.543,33088.543,33088.543,33088.543,33088.543,33088.543
Bahrain,26381.996,23138.994,18585.969,18770.12,19838.254,10468.514,12100.579,12193.796,14515.557,14204.736,15927.094,15453.469,15647.954,17267.734,17321.08,17423.264,16330.566,19281.459,17578.443,20788.555,27777.154,26450.092,24152.715,28342.62,30043.441,38436.684,41118.086,43345.777,55378.93,44195.965,46553.12,47956.34,56269.977,55316.56,53111.383,48509.74,46738.793,49238.594,49276.605,46964.977,46964.977,46964.977,46964.977,46964.977,46964.977
Bangladesh,1333.4319,1325.1575,1288.6855,1280.0214,1369.7687,1393.2859,1390.7646,1360.6252,1383.9873,1502.3505,1531.382,1553.5822,1562.9657,1568.4761,1607.5397,1648.079,1660.2803,1623.2451,1577.4174,1499.0077,1520.2449,1535.8394,1588.2731,1606.8379,1621.7179,1666.4171,1793.9163,1978.3098,2193.2632,2353.637,2650.6636,3030.0151,3113.8965,3260.8838,3453.2925,3714.8008,3833.7283,4112.704,4428.1455,4658.01,4658.01,4658.01,4658.01,4658.01,4658.01
Barbados,12789.05,12660.261,12830.858,13217.297,13541.944,11801.507,13744.875,14967.196,15623.32,16818.102,15811.569,16659.28,12578.095,13225.763,21747.504,23666.096,25243.86,23422.648,24377.67,24084.865,23597.746,23029.361,22733.799,20911.803,21595.09,22032.338,20567.945,21718.01,19940.24,17594.64,16825.586,15311.92,14260.479,13108.818,13087.195,12689.137,12570.785,11801.709,12009.456,12217.291,12217.291,12217.291,12217.291,12217.291,12217.291
Belarus,10839.38795,11188.56176,11537.73556,11886.90937,12236.08317,12585.25698,12934.43078,13283.60459,13632.77839,13981.9522,14331.126,13916.575,12404.728,13180.414,8683.532,8409.264,8840.275,9363.7295,9184.577,9084.586,9388.4455,9692.305,9920.514,10457.991,11319.383,12043.056,13609.858,15058.907,17549.406,17012.016,18824.506,21223.59,20276.56,19838.09,20188.39,19728.426,18609.34,20307.428,21174.275,21665.938,21665.938,21665.938,21665.938,21665.938,21665.938
Belgium,23806.79,22679.863,21934.953,21274.96,21207.998,20143.088,21584.13,22772.012,24514.705,25045.986,26114.314,26425.402,27306.836,27369.021,27974.865,29060.271,28905.15,30190.76,30345.209,31710.693,33739.33,33801.445,34587.23,35921.406,36637.98,40701.17,39286.82,40197.406,43370.99,41608.61,44733.914,44285.63,44366.01,43980.91,43960.465,42891.355,43413.094,45150.195,44205.297,44839.68,44839.68,44839.68,44839.68,44839.68,44839.68
Belize,5292.127,4845.993,4896.779,4740.473,4706.758,4750.915,5345.7656,5793.093,6093.674,6570.756,7192.621,6851.145,6758.351,7071.161,7399.0845,7794.7563,6607.7505,6156.386,5889.978,5897.188,6530.451,6299.567,6895.2183,7420.105,7606.347,7805.492,8127.245,8185.3877,7690.259,7087.6943,7784.203,8055.136,8062.7334,7291.5586,7270.5225,6594.8223,6321.782,6199.1445,5793.2246,5602.4204,5602.4204,5602.4204,5602.4204,5602.4204,5602.4204
