,Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,192.69999999999996,184.69999999999996,176.69999999999996,168.69999999999996,160.69999999999996,152.69999999999996,144.69999999999996,136.7,128.7,120.69999999999999,112.69999999999999,104.69999999999999,96.69999999999999,88.69999999999999,80.69999999999999,72.69999999999999,64.69999999999999,56.69999999999999,48.69999999999999,40.699999999999996,32.699999999999996,24.699999999999996,16.7,8.7,0.7,11.8,5.4,13.3,3.9,20.6,8.4,6.5,14.0,5.7,2.7,1.0,2.2,2.6,1.2,3.9,-2.4,-14.5,-6.2,2.7,,,,,,
2,Albania,2.7,5.7,2.9,1.1,2.0,-1.5,5.6,-0.8,-1.4,9.8,-10.0,-28.0,-7.2,9.6,9.4,8.9,9.1,-10.9,8.8,12.9,6.9,8.3,4.5,5.5,5.5,5.5,5.9,6.0,7.5,3.4,3.7,2.5,1.4,1.0,1.8,2.2,3.3,3.8,4.0,2.1,-3.3,8.9,4.9,3.5,3.3,3.4,3.5,3.5,3.5,3.5
3,Algeria,-5.4,3.0,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.1,-0.9,3.8,3.8,1.1,5.1,3.2,3.8,3.0,5.4,6.5,4.5,5.4,2.9,3.1,2.5,1.2,4.8,3.0,2.4,2.6,4.1,3.2,3.9,1.5,1.4,0.9,-5.0,3.8,3.6,4.1,3.8,3.0,2.5,2.1,2.1,2.1
4,Andorra,83.69999999999999,80.1,76.49999999999999,72.89999999999999,69.3,65.69999999999999,62.099999999999994,58.49999999999999,54.9,51.3,47.699999999999996,44.1,40.5,36.9,33.3,29.699999999999996,26.1,22.5,18.9,15.299999999999999,11.7,8.1,4.5,8.7,8.1,5.4,4.8,1.6,-5.6,-5.3,-2.0,0.0,-5.0,-3.5,2.5,1.4,3.7,0.3,1.6,2.0,-11.2,8.3,9.6,1.4,1.4,1.6,1.5,1.5,1.5,1.5
5,Angola,2.4,-4.4,0.0,4.2,6.0,3.5,2.9,4.1,6.1,0.0,-3.5,12.1,11.4,11.0,10.5,10.4,11.2,7.3,4.7,2.2,3.1,4.2,13.7,3.5,11.4,14.2,11.8,13.0,10.8,2.0,5.3,3.6,8.5,4.9,4.7,0.8,-1.7,-0.1,-0.6,-0.2,-4.0,2.1,4.2,1.0,2.4,2.8,3.3,3.3,3.4,3.4
6,Antigua and Barbuda,8.2,3.8,-0.1,5.4,10.2,7.6,11.5,6.6,5.2,5.3,3.0,2.2,1.2,5.3,6.7,-4.4,6.6,5.5,4.7,3.7,6.2,-4.5,1.0,6.1,5.8,6.5,12.7,9.3,0.0,-12.0,-7.8,-2.0,3.4,-0.6,2.2,1.4,4.1,2.5,7.0,3.1,-18.9,8.2,9.5,4.2,5.8,3.5,2.8,2.8,2.8,2.8
7,Argentina,0.7,-5.7,-3.1,3.7,2.0,-7.0,7.1,2.5,-2.0,-7.0,-1.3,10.5,10.3,6.3,5.8,-2.8,5.5,8.1,3.9,-3.4,-0.8,-4.4,-10.9,9.0,8.9,8.9,8.0,9.0,4.1,-5.9,10.1,6.0,-1.0,2.4,-2.5,2.7,-2.1,2.8,-2.6,-2.0,-9.9,10.4,5.3,-1.6,-3.5,5.0,4.7,3.9,3.3,2.4
8,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,5.4,8.0,5.2,3.4,6.3,3.2,5.9,9.5,14.8,14.1,10.5,14.1,13.2,13.7,6.9,-14.1,2.2,4.7,7.1,3.4,3.6,3.3,0.2,7.5,5.2,7.6,-7.1,5.8,12.6,8.3,6.0,4.9,4.5,4.5,4.5,4.5
9,Aruba,0.0,1.1000000000000014,3.6000000000000014,6.100000000000001,8.600000000000001,11.100000000000001,13.600000000000001,16.1,18.6,12.1,4.0,8.0,5.9,7.3,8.2,2.5,1.3,7.0,2.0,1.4,7.7,4.2,-0.9,1.1,7.3,-0.4,1.1,3.1,1.8,-11.7,-2.7,3.4,-1.0,6.4,-1.6,-0.6,1.7,7.0,2.4,-2.3,-24.0,27.6,10.5,5.3,5.5,2.0,1.4,1.4,1.4,1.4
10,Australia,2.9,4.1,0.1,-0.5,6.3,5.5,2.4,4.9,4.3,4.6,1.5,-1.0,2.6,3.9,4.9,2.9,4.0,4.7,4.7,4.4,3.1,2.6,4.2,3.0,4.1,3.0,2.6,4.3,2.6,2.0,2.4,2.8,3.8,2.2,2.6,2.4,2.7,2.4,2.8,1.8,-2.1,5.5,3.9,2.0,1.2,2.1,2.2,2.2,2.3,2.3
11,Austria,2.3,-0.1,1.9,2.8,0.3,2.2,2.3,1.7,1.0,3.9,4.3,3.4,2.1,0.5,2.4,2.7,2.4,2.1,3.6,3.6,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,0.0,0.7,1.0,2.0,2.3,2.4,1.5,-6.6,4.2,4.8,-0.8,-0.6,1.1,1.7,1.6,1.1,0.9
12,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.1,-19.7,-13.0,2.5,8.9,6.0,11.4,6.2,6.5,9.4,10.2,9.3,26.4,34.5,25.0,10.8,9.3,5.0,0.1,2.2,5.8,2.8,1.1,-3.1,0.2,1.5,2.5,-4.2,5.6,4.7,1.1,3.2,2.5,2.4,2.4,2.4,2.4
13,"Bahamas, The",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.3,2.3,1.1,-4.2,-3.8,0.3,3.1,4.4,4.2,4.9,4.7,7.1,4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1.5,0.6,3.1,-2.9,1.8,1.0,-1.0,2.8,2.6,-1.4,-21.4,15.4,10.8,2.6,1.9,1.7,1.6,1.5,1.5,1.5
14,Bahrain,7.5,2.8,6.4,7.0,4.2,-0.9,0.5,-1.2,6.0,1.0,3.5,2.3,7.1,7.6,3.2,1.9,3.2,2.3,4.8,6.0,7.0,2.5,3.3,6.3,7.0,6.8,6.5,8.3,6.2,2.5,4.3,1.9,3.8,5.3,4.3,2.5,3.8,5.0,2.1,2.1,-5.9,4.4,6.0,3.0,3.0,3.2,2.9,2.8,2.8,2.9
