Country_name_encoded,GDP Data,Year,Country Name,Predicted Enrollment Rates
0,8410.796021776428,2025,Albania,80.25929
1,7061.376602556344,2025,Algeria,74.32912
2,9245.541620718239,2025,Angola,82.64794
3,7335.03130016689,2025,Anguilla,75.19361
4,8448.571027164862,2025,Antigua and Barbuda,79.388275
5,2878.9714642798526,2025,Argentina,50.22056
6,7803.154562108201,2025,Armenia,76.7124
7,8293.35417385938,2025,Australia,78.505905
8,4509.94571145691,2025,Austria,62.79766
9,7272.787113746001,2025,Azerbaijan,74.38491
10,5441.365799349497,2025,Bahamas,66.29377
11,6185.141121753079,2025,Bangladesh,69.26918
12,8891.218421586575,2025,Barbados,80.33484
13,4424.990979502837,2025,Belarus,60.884987
14,8724.995308791998,2025,Belgium,79.50488
15,6122.65831050751,2025,Belize,67.76327
16,3874.291859546114,2025,Benin,57.53163
17,5654.045402556673,2025,Bermuda,65.079735
18,8982.545548672337,2025,Bhutan,79.46816
19,6660.838693480726,2025,Bolivia,68.92443
20,375.81789954192925,2025,Bosnia and Herzegovina,4.5811486
21,7706.121759487774,2025,Botswana,72.944046
22,4628.377910259094,2025,Brazil,59.06356
23,180.36647485082602,2025,British Virgin Islands,2.5082307
24,2243.441920913911,2025,Brunei,32.243652
25,3862.305047149083,2025,Bulgaria,51.64427
26,8965.084509409875,2025,Burkina Faso,77.01615
27,6194.153455500885,2025,Burundi,64.48976
28,3828.324620236828,2025,Cambodia,49.250427
29,6886.4867762825725,2025,Cameroon,66.95163
30,893.9736687724986,2025,Canada,14.022039
31,5689.227191984216,2025,Cape Verde,60.707077
32,2737.6193581690845,2025,Cayman Islands,36.5825
33,8670.98934210606,2025,Central African Republic,73.776985
34,4277.046055227729,2025,Chad,48.37639
35,8606.673967660749,2025,Chile,73.403076
36,3406.406683602591,2025,China,41.122086
37,636.9215819066054,2025,Colombia,16.906767
38,2585.185735204277,2025,Comoros,36.23528
39,9436.327845541213,2025,Congo,76.94454
40,6420.983209015803,2025,Costa Rica,61.73087
41,3730.978753875235,2025,Cote d'Ivoire,42.963448
42,7885.441511109111,2025,Croatia,69.873566
43,6199.440622766357,2025,Cyprus,58.856766
